mapping,subzone,coordinates,centroids
"[{'Y': '32141.7287', 'X': '31107.8814', 'CATEGORY': 'Building', 'SEARCHVAL': 'LAVENDER GARDENS'}, {'Y': '32003.9416', 'X': '30406.6266', 'CATEGORY': 'Family', 'SEARCHVAL': 'LAVENDER MEADOWS ACADEMY PTE. LTD. (CHILD CARE SERVICES)'}, {'Y': '32190.2887', 'X': '31279.2955', 'CATEGORY': 'Building', 'SEARCHVAL': 'LAVENDER MRT STATION'}, {'Y': '32188.6996', 'X': '31277.4071', 'CATEGORY': 'Community', 'SEARCHVAL': 'LAVENDER MRT STATION (EW11) (FRIENDLY BUILDINGS)'}, {'Y': '32188.6996', 'X': '31277.4071', 'CATEGORY': 'Community', 'SEARCHVAL': 'LAVENDER MRT STATION (SAM KIOSK)'}, {'Y': '32165.6951', 'X': '31308.0592', 'CATEGORY': 'Building', 'SEARCHVAL': 'LAVENDER MRT STATION EXIT A'}, {'Y': '32215.3514', 'X': '31264.3496', 'CATEGORY': 'Building', 'SEARCHVAL': 'LAVENDER MRT STATION EXIT B'}, {'Y': '32153.1493', 'X': '31326.6379', 'CATEGORY': 'Community', 'SEARCHVAL': 'LAVENDER MRT STATION, 50 KALLANG ROAD, SINGAPORE 208699 (AXS STATION)'}, {'Y': '32805.8220', 'X': '31058.3406', 'CATEGORY': 'Building', 'SEARCHVAL': 'LAVENDER PLACE'}, {'Y': '32746.7344', 'X': '31134.0748', 'CATEGORY': 'CATB', 'SEARCHVAL': 'LAVENDER STREET'}, {'Y': '32913.3479', 'X': '31001.5494', 'CATEGORY': 'Community', 'SEARCHVAL': 'LAVENDER STREET BY JLN BESAR TOWARDS BALESTIER ROAD (SINGAPORE POLICE FORCE DIGITAL TRAFFIC RED LIGHT CAMERAS)'}]",Lavender,"[(1.2976022008098007, 103.87053350490702), (1.291260318214927, 103.8692953378691), (1.2991524027856136, 103.87096986078599)]","(1.2960049739367805, 103.87026623452071)"
"[{'Y': '31109.9327', 'X': '32481.5077', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'TANJONG RHU / RHU CROSS (OPP CASURINA COVE CONDO) (COMMUNITY USE SITES)'}, {'Y': '31084.9315', 'X': '31923.1438', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'TANJONG RHU / TANJONG RHU VIEW (COMMUNITY USE SITES)'}, {'Y': '31233.0738', 'X': '32892.8491', 'CATEGORY': 'Building', 'SEARCHVAL': 'TANJONG RHU BRIDGE'}, {'Y': '30846.6804', 'X': '33863.3315', 'CATEGORY': 'Building', 'SEARCHVAL': 'TANJONG RHU FLYOVER'}, {'Y': '31280.7277', 'X': '32506.1266', 'CATEGORY': 'Building', 'SEARCHVAL': 'TANJONG RHU FOOTBRIDGE'}, {'Y': '31161.3858', 'X': '32387.4373', 'CATEGORY': 'CATE', 'SEARCHVAL': 'TANJONG RHU PLACE'}, {'Y': '31184.4585', 'X': '32188.4650', 'CATEGORY': 'Building', 'SEARCHVAL': 'TANJONG RHU PROMENADE'}, {'Y': '31125.7603', 'X': '31655.9033', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'TANJONG RHU PROMENADE (GARDENS BY THE BAY (BAY EAST)) (PCN ACCESS POINTS)'}, {'Y': '31464.6206', 'X': '33606.4237', 'CATEGORY': 'Community', 'SEARCHVAL': 'TANJONG RHU RC (RESIDENTS COMMITTEES)'}, {'Y': '31075.5126', 'X': '33225.6742', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'TANJONG RHU RD (BESIDE SINGAPORE SWIMMING CLUB) (COMMUNITY USE SITES)'}, {'Y': '31177.5299', 'X': '31738.4971', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'TANJONG RHU RD (OPP COSTA RHU) (COMMUNITY USE SITES)'}, {'Y': '30980.1290', 'X': '31961.9265', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'TANJONG RHU RD / CROSS (JUNCTION) (COMMUNITY USE SITES)'}, {'Y': '31438.3418', 'X': '33723.7366', 'CATEGORY': 'Recreation', 'SEARCHVAL': ""TANJONG RHU RESIDENTS' COMMITTEE (WIRELESS HOTSPOTS)""}, {'Y': '31086.0481', 'X': '32800.5898', 'CATEGORY': 'CATD', 'SEARCHVAL': 'TANJONG RHU ROAD'}, {'Y': '31134.2684', 'X': '31929.6029', 'CATEGORY': 'CATE', 'SEARCHVAL': 'TANJONG RHU VIEW'}]",Tanjong Rhu,"[(1.310024911826232, 103.86126250055662), (1.3049752686491773, 103.86103779730095), (1.313744925176234, 103.86236902589707)]","(1.3095817018838811, 103.86155644125154)"
"[{'Y': '40732.3466', 'X': '13468.4016', 'CATEGORY': 'Building', 'SEARCHVAL': 'LIM CHU KANG CAMP I'}, {'Y': '39923.7653', 'X': '13061.8911', 'CATEGORY': 'Building', 'SEARCHVAL': 'LIM CHU KANG CAMP II'}, {'Y': '46567.1992', 'X': '14003.4339', 'CATEGORY': 'Building', 'SEARCHVAL': 'LIM CHU KANG DUMPING GROUND'}, {'Y': '45184.2682', 'X': '14498.4792', 'CATEGORY': 'CATE', 'SEARCHVAL': 'LIM CHU KANG LANE 1'}, {'Y': '44856.8645', 'X': '14454.4878', 'CATEGORY': 'CATE', 'SEARCHVAL': 'LIM CHU KANG LANE 1A'}, {'Y': '45518.5029', 'X': '14539.1328', 'CATEGORY': 'CATE', 'SEARCHVAL': 'LIM CHU KANG LANE 2'}, {'Y': '45535.9134', 'X': '14827.3726', 'CATEGORY': 'CATE', 'SEARCHVAL': 'LIM CHU KANG LANE 3'}, {'Y': '45826.4190', 'X': '14021.6814', 'CATEGORY': 'CATE', 'SEARCHVAL': 'LIM CHU KANG LANE 3A'}, {'Y': '46024.9104', 'X': '14103.5789', 'CATEGORY': 'CATE', 'SEARCHVAL': 'LIM CHU KANG LANE 4'}, {'Y': '46122.9899', 'X': '14653.3635', 'CATEGORY': 'CATE', 'SEARCHVAL': 'LIM CHU KANG LANE 5'}, {'Y': '45928.3083', 'X': '15009.5812', 'CATEGORY': 'CATE', 'SEARCHVAL': 'LIM CHU KANG LANE 5A'}, {'Y': '46325.7179', 'X': '14703.8313', 'CATEGORY': 'CATE', 'SEARCHVAL': 'LIM CHU KANG LANE 6'}, {'Y': '46894.0852', 'X': '14798.5434', 'CATEGORY': 'CATE', 'SEARCHVAL': 'LIM CHU KANG LANE 6C'}, {'Y': '47123.2113', 'X': '15119.9609', 'CATEGORY': 'CATE', 'SEARCHVAL': 'LIM CHU KANG LANE 6D'}, {'Y': '46881.6197', 'X': '15250.9708', 'CATEGORY': 'CATE', 'SEARCHVAL': 'LIM CHU KANG LANE 6F'}, {'Y': '47098.8088', 'X': '14295.5105', 'CATEGORY': 'CATE', 'SEARCHVAL': 'LIM CHU KANG LANE 8'}, {'Y': '46920.6428', 'X': '14254.5142', 'CATEGORY': 'CATE', 'SEARCHVAL': 'LIM CHU KANG LANE 8A'}, {'Y': '47472.0780', 'X': '14307.6734', 'CATEGORY': 'CATE', 'SEARCHVAL': 'LIM CHU KANG LANE 9'}, {'Y': '47508.6560', 'X': '14809.4429', 'CATEGORY': 'CATE', 'SEARCHVAL': 'LIM CHU KANG LANE 9A'}, {'Y': '43469.4227', 'X': '13274.3127', 'CATEGORY': 'CATB', 'SEARCHVAL': 'LIM CHU KANG ROAD'}]",Lim Chu Kang,"[(1.1380748468797064, 103.94771720178913), (1.1343987917281984, 103.9404520471106), (1.1429109039471672, 104.00014296469335)]","(1.138461514185024, 103.96277073786435)"
[],Mandai East,[],"(0.0, 0.0)"
"[{'Y': '43191.2960', 'X': '19595.8905', 'CATEGORY': 'Building', 'SEARCHVAL': 'MANDAI ESTATE'}]",Mandai Estate,"[(1.19348863062441, 103.96981326381169)]","(0.39782954354147, 34.656604421270565)"
"[{'Y': '42704.6919', 'X': '20365.3123', 'CATEGORY': 'Building', 'SEARCHVAL': 'MANDAI WEST CAMP'}]",Mandai West,"[(1.2004472122628553, 103.9654414277309)]","(0.40014907075428513, 34.655147142576965)"
[],Marina East,[],"(0.0, 0.0)"
"[{'Y': '29546.9230', 'X': '31682.4056', 'CATEGORY': 'Building', 'SEARCHVAL': 'MARINA SOUTH'}, {'Y': '28564.7868', 'X': '31354.7019', 'CATEGORY': 'Building', 'SEARCHVAL': 'MARINA SOUTH MRT STATION'}, {'Y': '27849.7992', 'X': '31587.8266', 'CATEGORY': 'Building', 'SEARCHVAL': 'MARINA SOUTH PIER'}, {'Y': '28152.1326', 'X': '31339.7698', 'CATEGORY': 'Building', 'SEARCHVAL': 'MARINA SOUTH PIER CHECKPOINT'}, {'Y': '28169.2511', 'X': '31241.8260', 'CATEGORY': 'Building', 'SEARCHVAL': 'MARINA SOUTH PIER MRT STATION'}, {'Y': '28060.1685', 'X': '30674.2932', 'CATEGORY': 'Building', 'SEARCHVAL': 'MARINA SOUTH WHARVES'}]",Marina South,"[(1.3027982322019234, 103.84721806053645), (1.2998346287114826, 103.83839310918371), (1.3019429311599802, 103.83196862304857)]","(1.3015252640244621, 103.83919326425625)"
"[{'Y': '32442.0654', 'X': '38060.9616', 'CATEGORY': 'CATE', 'SEARCHVAL': 'EAST COAST AVENUE'}, {'Y': '32452.3274', 'X': '36971.8865', 'CATEGORY': 'Building', 'SEARCHVAL': 'EAST COAST CARE CENTRE'}, {'Y': '34753.0884', 'X': '40736.2241', 'CATEGORY': 'Building', 'SEARCHVAL': ""EAST COAST CHILDREN'S HOUSE KINDERGARTEN""}, {'Y': '32540.9243', 'X': '37891.1328', 'CATEGORY': 'CATE', 'SEARCHVAL': 'EAST COAST DRIVE'}, {'Y': '33369.7598', 'X': '39513.9551', 'CATEGORY': 'Building', 'SEARCHVAL': 'EAST COAST HILL'}, {'Y': '32176.0329', 'X': '39293.9162', 'CATEGORY': 'Building', 'SEARCHVAL': 'EAST COAST LAGOON FOOD VILLAGE'}, {'Y': '32176.0336', 'X': '39293.9165', 'CATEGORY': 'Community', 'SEARCHVAL': 'EAST COAST LAGOON FOOD VILLAGE (FRIENDLY BUILDINGS)'}, {'Y': '32176.0336', 'X': '39293.9165', 'CATEGORY': 'Environment', 'SEARCHVAL': 'EAST COAST LAGOON FOOD VILLAGE (HAWKER CENTRES)'}, {'Y': '32156.3441', 'X': '39313.9786', 'CATEGORY': 'Community', 'SEARCHVAL': 'EAST COAST LAGOON FOOD VILLAGE, 1220 EAST COAST PARKWAY, SINGAPORE 468960 (AXS STATION)'}, {'Y': '32261.0000', 'X': '39545.0000', 'CATEGORY': 'Building', 'SEARCHVAL': 'EAST COAST PARK'}, {'Y': '31034.6274', 'X': '35380.4524', 'CATEGORY': 'Environment', 'SEARCHVAL': 'EAST COAST PARK (GREEN MARK BUILDINGS)'}, {'Y': '32914.0000', 'X': '38079.0000', 'CATEGORY': '', 'SEARCHVAL': 'EAST COAST PARK (RESIDENTIAL)'}, {'Y': '32546.2616', 'X': '40029.5623', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'EAST COAST PARK (TOURIST ATTRACTIONS)'}, {'Y': '31561.4755', 'X': '36943.5022', 'CATEGORY': 'Community', 'SEARCHVAL': 'EAST COAST PARK CARPARK C3, EAST COAST PARKWAY, SINGAPORE 449877 (AXS STATION)'}, {'Y': '31121.2403', 'X': '35574.4175', 'CATEGORY': 'Building', 'SEARCHVAL': 'EAST COAST PARK OFFICE'}, {'Y': '32173.1811', 'X': '38703.4594', 'CATEGORY': 'CATE', 'SEARCHVAL': 'EAST COAST PARK SERVICE ROAD'}, {'Y': '31771.8387', 'X': '37599.5625', 'CATEGORY': 'Building', 'SEARCHVAL': 'EAST COAST PARK SERVICE ROAD 9KM'}, {'Y': '31156.0670', 'X': '35556.8267', 'CATEGORY': 'Community', 'SEARCHVAL': 'EAST COAST PARK VISITOR CENTER, EAST COAST PARK AREA BASEMENT 2, EAST COAST PARKWAY, SINGAPORE 449874 (AXS STATION)'}, {'Y': '31951.3504', 'X': '38018.8254', 'CATEGORY': 'CATA', 'SEARCHVAL': 'EAST COAST PARKWAY'}, {'Y': '34590.9617', 'X': '37634.2276', 'CATEGORY': 'Building', 'SEARCHVAL': 'EAST COAST PRIMARY SCHOOL'}]",East Coast,"[(1.360483339369223, 103.87323317131637), (1.3506341328117986, 103.87332522063771), (1.3846770083041882, 103.89399986039803)]","(1.365264826828403, 103.88018608411737)"
"[{'Y': '32802.7137', 'X': '35860.8857', 'CATEGORY': 'Building', 'SEARCHVAL': 'KATONG APARTMENTS'}, {'Y': '31438.3418', 'X': '33723.7366', 'CATEGORY': 'Community', 'SEARCHVAL': 'KATONG CC (COMMUNITY CLUBS)'}, {'Y': '31438.3417', 'X': '33723.7362', 'CATEGORY': 'Building', 'SEARCHVAL': 'KATONG COMMUNITY CENTRE'}, {'Y': '31438.3418', 'X': '33723.7366', 'CATEGORY': 'Community', 'SEARCHVAL': 'KATONG COMMUNITY CENTRE (CC) (FRIENDLY BUILDINGS)'}, {'Y': '32341.1187', 'X': '36048.3613', 'CATEGORY': 'Building', 'SEARCHVAL': 'KATONG GARDENS'}, {'Y': '32095.1243', 'X': '35419.2334', 'CATEGORY': 'Building', 'SEARCHVAL': 'KATONG GEM'}, {'Y': '31985.3651', 'X': '35020.3823', 'CATEGORY': 'Community', 'SEARCHVAL': 'KATONG HOSTEL, 369 TANJONG KATONG ROAD, SINGAPORE 437126 (AXS EXPRESS TOP UP)'}, {'Y': '32394.2594', 'X': '36683.6041', 'CATEGORY': 'Building', 'SEARCHVAL': 'KATONG OMEGA APARTMENTS'}, {'Y': '31060.7214', 'X': '33902.6401', 'CATEGORY': 'Building', 'SEARCHVAL': 'KATONG PARK'}, {'Y': '31114.0518', 'X': '33958.0787', 'CATEGORY': 'Building', 'SEARCHVAL': 'KATONG PARK CHILD DEVELOPMENT & LEARNING CENTRE'}, {'Y': '31353.6190', 'X': '34103.3947', 'CATEGORY': 'Building', 'SEARCHVAL': 'KATONG PARK TOWERS'}, {'Y': '31353.6199', 'X': '34103.3953', 'CATEGORY': 'Community', 'SEARCHVAL': 'KATONG PARK TOWERS (FRIENDLY BUILDINGS)'}, {'Y': '31830.7096', 'X': '35854.0365', 'CATEGORY': 'Building', 'SEARCHVAL': 'KATONG PLAZA'}, {'Y': '31712.7588', 'X': '35094.1688', 'CATEGORY': 'Community', 'SEARCHVAL': 'KATONG PO (SAM KIOSK)'}, {'Y': '32137.7454', 'X': '35927.7157', 'CATEGORY': 'Building', 'SEARCHVAL': 'KATONG POINT'}, {'Y': '31713.2921', 'X': '35102.5116', 'CATEGORY': 'Building', 'SEARCHVAL': 'KATONG POST OFFICE'}, {'Y': '32732.8345', 'X': '35802.9914', 'CATEGORY': 'Building', 'SEARCHVAL': 'KATONG PRESBYTERIAN CHURCH'}, {'Y': '32732.8351', 'X': '35802.9918', 'CATEGORY': 'Community', 'SEARCHVAL': 'KATONG PRESBYTERIAN CHURCH (FRIENDLY BUILDINGS)'}, {'Y': '32973.1533', 'X': '34868.3119', 'CATEGORY': 'Building', 'SEARCHVAL': 'KATONG REGENCY'}, {'Y': '34171.9699', 'X': '40203.0581', 'CATEGORY': 'Family', 'SEARCHVAL': 'KATONG SCHOOL - SPMF (VOLUNTARY WELFARE ORGS)'}]",Katong,"[(1.3405865850069716, 103.87647348585332), (1.3212591548714134, 103.86421355356809), (1.3212591512539669, 103.8642135526695)]","(1.3277016303774507, 103.86830019736362)"
[],Marina East (Mp),[],"(0.0, 0.0)"
"[{'Y': '31633.4731', 'X': '35879.9315', 'CATEGORY': 'CATE', 'SEARCHVAL': 'MARINE PARADE'}, {'Y': '34262.4903', 'X': '38528.6314', 'CATEGORY': 'Family', 'SEARCHVAL': 'MARINE PARADE - ASPIRATION CHILD CARE CENTRE (CHILD CARE SERVICES)'}, {'Y': '33302.9095', 'X': '33902.9175', 'CATEGORY': 'Building', 'SEARCHVAL': 'MARINE PARADE - CHARIS STUDENT CARE CENTRE'}, {'Y': '34607.5446', 'X': '35712.0307', 'CATEGORY': 'Building', 'SEARCHVAL': 'MARINE PARADE - MAHA BODHI STUDENT CARE CENTRE'}, {'Y': '34972.2524', 'X': '39913.6769', 'CATEGORY': 'Family', 'SEARCHVAL': 'MARINE PARADE - RED SWASTIKA STUDENT CARE CENTRE (VOLUNTARY WELFARE ORGS)'}, {'Y': '34262.4902', 'X': '38528.6308', 'CATEGORY': 'Building', 'SEARCHVAL': 'MARINE PARADE ASPIRATION CHILD CARE CENTRE'}, {'Y': '34258.9000', 'X': '38544.8611', 'CATEGORY': 'Building', 'SEARCHVAL': 'MARINE PARADE ASPIRATION ELDERLY LODGE'}, {'Y': '33363.9039', 'X': '34124.9091', 'CATEGORY': 'Family', 'SEARCHVAL': 'MARINE PARADE ASPIRATION ELDERLY LODGE (VOLUNTARY WELFARE ORGS)'}, {'Y': '31906.9638', 'X': '36483.3338', 'CATEGORY': 'Community', 'SEARCHVAL': 'MARINE PARADE CC (COMMUNITY CLUBS)'}, {'Y': '31698.8223', 'X': '36217.0684', 'CATEGORY': 'CATE', 'SEARCHVAL': 'MARINE PARADE CENTRAL'}, {'Y': '32667.0554', 'X': '35605.0942', 'CATEGORY': 'Building', 'SEARCHVAL': 'MARINE PARADE CHRISTIAN CENTRE'}, {'Y': '32667.0560', 'X': '35605.0943', 'CATEGORY': 'Community', 'SEARCHVAL': 'MARINE PARADE CHRISTIAN CENTRE (FRIENDLY BUILDINGS)'}, {'Y': '31911.5094', 'X': '36499.3823', 'CATEGORY': 'Building', 'SEARCHVAL': 'MARINE PARADE COMMUNITY BUILDING'}, {'Y': '31906.9636', 'X': '36483.3336', 'CATEGORY': 'Building', 'SEARCHVAL': 'MARINE PARADE COMMUNITY CLUB'}, {'Y': '31906.9641', 'X': '36483.3344', 'CATEGORY': 'Community', 'SEARCHVAL': 'MARINE PARADE COMMUNITY CLUB (CC) (FRIENDLY BUILDINGS)'}, {'Y': '31906.9641', 'X': '36483.3344', 'CATEGORY': 'Community', 'SEARCHVAL': 'MARINE PARADE CONSTITUENCY OFFICE (CONSTITUENCY OFFICES)'}, {'Y': '31964.8742', 'X': '37189.6186', 'CATEGORY': 'Building', 'SEARCHVAL': 'MARINE PARADE DISTRICT HALL'}, {'Y': '31880.4024', 'X': '37040.1125', 'CATEGORY': 'Building', 'SEARCHVAL': 'MARINE PARADE ESTATE'}, {'Y': '31941.4547', 'X': '37239.1349', 'CATEGORY': 'Building', 'SEARCHVAL': 'MARINE PARADE FAMILY SERVICE CENTRE'}, {'Y': '31941.6136', 'X': '37233.2616', 'CATEGORY': 'Family', 'SEARCHVAL': 'MARINE PARADE FAMILY SERVICE CENTRE - ENHANCED STEP-UP (SERVICE A) (VOLUNTARY WELFARE ORGS)'}]",Marine Parade,"[(1.340758992021837, 103.86596716697775), (1.3647124482216924, 103.88959099902756), (1.3228793366042377, 103.8809677017916)]","(1.342783592282589, 103.87884195593229)"
"[{'Y': '32353.8995', 'X': '33036.2706', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'MOUNTBATTEN / GULIEMARD ROAD (COMMUNITY USE SITES)'}, {'Y': '32528.5056', 'X': '33954.9687', 'CATEGORY': 'Community', 'SEARCHVAL': 'MOUNTBATTEN CC (COMMUNITY CLUBS)'}, {'Y': '32258.6081', 'X': '33287.4370', 'CATEGORY': 'Community', 'SEARCHVAL': 'MOUNTBATTEN CENTRE (FRIENDLY BUILDINGS)'}, {'Y': '32528.5063', 'X': '33954.9689', 'CATEGORY': 'Community', 'SEARCHVAL': 'MOUNTBATTEN COMMUNITY CENTRE (CC) (FRIENDLY BUILDINGS)'}, {'Y': '32546.0157', 'X': '33981.9526', 'CATEGORY': 'Building', 'SEARCHVAL': 'MOUNTBATTEN COMMUNITY CLUB'}, {'Y': '32528.5063', 'X': '33954.9689', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'MOUNTBATTEN COMMUNITY CLUB (WIRELESS HOTSPOTS)'}, {'Y': '32528.5063', 'X': '33954.9689', 'CATEGORY': 'Community', 'SEARCHVAL': 'MOUNTBATTEN CONSTITUENCY OFFICE (CONSTITUENCY OFFICES)'}, {'Y': '31465.0383', 'X': '33606.4703', 'CATEGORY': 'Building', 'SEARCHVAL': 'MOUNTBATTEN FIRE POST'}, {'Y': '31464.6207', 'X': '33606.4238', 'CATEGORY': 'Emergency Preparedness', 'SEARCHVAL': 'MOUNTBATTEN FIRE POST (FIRE POSTS)'}, {'Y': '31462.0154', 'X': '34208.7428', 'CATEGORY': 'Building', 'SEARCHVAL': 'MOUNTBATTEN LIGHTS'}, {'Y': '31482.8963', 'X': '34180.4387', 'CATEGORY': 'Building', 'SEARCHVAL': 'MOUNTBATTEN LODGE'}, {'Y': '32058.7418', 'X': '33476.5634', 'CATEGORY': 'Building', 'SEARCHVAL': 'MOUNTBATTEN MRT STATION'}, {'Y': '32058.7429', 'X': '33476.5641', 'CATEGORY': 'Community', 'SEARCHVAL': 'MOUNTBATTEN MRT STATION (CC7) (FRIENDLY BUILDINGS)'}, {'Y': '32150.8493', 'X': '33470.1953', 'CATEGORY': 'Building', 'SEARCHVAL': 'MOUNTBATTEN MRT STATION EXIT A'}, {'Y': '32041.4960', 'X': '33556.7167', 'CATEGORY': 'Building', 'SEARCHVAL': 'MOUNTBATTEN MRT STATION EXIT B'}, {'Y': '32242.7782', 'X': '34148.5968', 'CATEGORY': 'Building', 'SEARCHVAL': 'MOUNTBATTEN NEIGHBOURHOOD POLICE POST'}, {'Y': '32178.5573', 'X': '34141.8017', 'CATEGORY': 'Government Offices', 'SEARCHVAL': 'MOUNTBATTEN NEIGHBOURHOOD POLICE POST (SINGAPORE POLICE FORCE ESTABLISHMENTS)'}, {'Y': '31670.7864', 'X': '35183.8463', 'CATEGORY': 'Building', 'SEARCHVAL': 'MOUNTBATTEN REGENCY'}, {'Y': '31427.7497', 'X': '34183.4022', 'CATEGORY': 'CATB', 'SEARCHVAL': 'MOUNTBATTEN ROAD'}, {'Y': '31451.3850', 'X': '34514.7940', 'CATEGORY': 'Culture', 'SEARCHVAL': 'MOUNTBATTEN ROAD (CONSERVATION AREA MAP)'}]",Mountbatten,"[(1.315041840090338, 103.87244022245139), (1.3233501937338081, 103.87400928073279), (1.317313313156268, 103.87158401603682)]","(1.3185684489934715, 103.87267783974033)"
"[{'Y': '31042.6419', 'X': '30248.8840', 'CATEGORY': 'Building', 'SEARCHVAL': 'BRAS BASAH COMPLEX'}, {'Y': '31042.6425', 'X': '30248.8847', 'CATEGORY': 'Community', 'SEARCHVAL': 'BRAS BASAH COMPLEX (FRIENDLY BUILDINGS)'}, {'Y': '31025.9016', 'X': '29930.7674', 'CATEGORY': 'Building', 'SEARCHVAL': 'BRAS BASAH MRT STATION'}, {'Y': '31025.9024', 'X': '29930.7675', 'CATEGORY': 'Community', 'SEARCHVAL': 'BRAS BASAH MRT STATION (CC2) (FRIENDLY BUILDINGS)'}, {'Y': '31033.4550', 'X': '30010.9433', 'CATEGORY': 'Building', 'SEARCHVAL': 'BRAS BASAH MRT STATION EXIT A'}, {'Y': '30993.7507', 'X': '29920.2911', 'CATEGORY': 'Building', 'SEARCHVAL': 'BRAS BASAH MRT STATION EXIT B'}, {'Y': '31029.0068', 'X': '29880.0736', 'CATEGORY': 'Building', 'SEARCHVAL': 'BRAS BASAH MRT STATION EXIT C'}, {'Y': '31103.5514', 'X': '29874.5906', 'CATEGORY': 'Building', 'SEARCHVAL': 'BRAS BASAH MRT STATION EXIT D'}, {'Y': '31115.5743', 'X': '29915.4045', 'CATEGORY': 'Building', 'SEARCHVAL': 'BRAS BASAH MRT STATION EXIT E'}, {'Y': '31042.6425', 'X': '30248.8847', 'CATEGORY': 'Community', 'SEARCHVAL': 'BRAS BASAH PO (SAM KIOSK)'}, {'Y': '31005.8687', 'X': '30270.4852', 'CATEGORY': 'Building', 'SEARCHVAL': 'BRAS BASAH POST OFFICE'}, {'Y': '30919.9149', 'X': '30081.8579', 'CATEGORY': 'CATB', 'SEARCHVAL': 'BRAS BASAH ROAD'}, {'Y': '31225.4227', 'X': '29758.9132', 'CATEGORY': 'Culture', 'SEARCHVAL': 'BRAS BASAH ROAD CONSERVATION AREA (CONSERVATION AREA MAP)'}]",Bras Basah,"[(1.2898338579159203, 103.86065764306115), (1.2898338642464156, 103.86065764845247), (1.2869569250359918, 103.86050719406431)]","(1.2888748823994425, 103.86060749519265)"
"[{'Y': '31306.8366', 'X': '29357.4663', 'CATEGORY': 'Building', 'SEARCHVAL': 'DHOBY GHAUT CARPARK'}, {'Y': '31171.8002', 'X': '29468.0463', 'CATEGORY': 'Building', 'SEARCHVAL': 'DHOBY GHAUT GREEN'}, {'Y': '31229.3143', 'X': '29424.1448', 'CATEGORY': 'Building', 'SEARCHVAL': 'DHOBY GHAUT MRT STATION'}, {'Y': '31241.3789', 'X': '29450.0131', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'DHOBY GHAUT MRT STATION (CCL) (WIRELESS HOTSPOTS)'}, {'Y': '31229.3153', 'X': '29424.1447', 'CATEGORY': 'Community', 'SEARCHVAL': 'DHOBY GHAUT MRT STATION (NS24/NE6/CC1) (FRIENDLY BUILDINGS)'}, {'Y': '31229.3153', 'X': '29424.1447', 'CATEGORY': 'Recreation', 'SEARCHVAL': 'DHOBY GHAUT MRT STATION (NSL) (WIRELESS HOTSPOTS)'}, {'Y': '31185.8888', 'X': '29584.5721', 'CATEGORY': 'Building', 'SEARCHVAL': 'DHOBY GHAUT MRT STATION EXIT A'}, {'Y': '31254.6495', 'X': '29298.6895', 'CATEGORY': 'Building', 'SEARCHVAL': 'DHOBY GHAUT MRT STATION EXIT B'}, {'Y': '31334.1314', 'X': '29271.9763', 'CATEGORY': 'Building', 'SEARCHVAL': 'DHOBY GHAUT MRT STATION EXIT C'}, {'Y': '31365.2499', 'X': '29303.3908', 'CATEGORY': 'Building', 'SEARCHVAL': 'DHOBY GHAUT MRT STATION EXIT D'}, {'Y': '31345.1039', 'X': '29341.4705', 'CATEGORY': 'Building', 'SEARCHVAL': 'DHOBY GHAUT MRT STATION EXIT E'}, {'Y': '31332.5452', 'X': '29393.7800', 'CATEGORY': 'Building', 'SEARCHVAL': 'DHOBY GHAUT MRT STATION EXIT F'}, {'Y': '31217.1171', 'X': '29402.4259', 'CATEGORY': 'Community', 'SEARCHVAL': 'DHOBY GHAUT MRT STATION, 11 ORCHARD ROAD, SINGAPORE 238826 (AXS STATION)'}]",Dhoby Ghaut,"[(1.2817721634134505, 103.86303144844665), (1.2827722238984889, 103.86181810546013), (1.2823751883396484, 103.86233488752343)]","(1.282306525217196, 103.86239481381007)"
